inbound_tweet_id,brand_tweet_id,customer_message_raw,customer_message,brand_reply_raw,brand_reply,created_at,matched_intent
236211,236214,@AmazonHelp Your option menu doesn't cover this contingency without telling me it will charge me for a non-delivered item *again* if I dont send it back,Your option menu doesn't cover this contingency without telling me it will charge me for a non-delivered item *again* if I dont send it back,@172254 Were you able to contact us directly? What exactly was advised? ^PK,@172254 Were you able to contact us directly? What exactly was advised? ^PK,Thu Oct 05 14:13:35 +0000 2017,
173515,173514,Don’t you love it when you order 3 different Christmas presents from different companies and they don’t arrive/ say they have been delivered when they haven’t 😭 @115830 @127161 @126705 @115931,Don’t you love it when you order 3 different Christmas presents from different companies and they don’t arrive/ say they have been delivered when they haven’t 😭,"@156621 I'm sorry your order hasn't arrived yet! We'd like to look into this with you. When you have a moment, please contact us by phone or chat here: https://t.co/qy3J24VGxb ^AC","@156621 I'm sorry your order hasn't arrived yet! We'd like to look into this with you. When you have a moment, please contact us by phone or chat here: ^AC",Fri Nov 24 22:59:00 +0000 2017,
69793,69795,@AmazonHelp I want replacement of the product. With original product! I have written  your. Customer service team,I want replacement of the product. With original product! I have written your. Customer service team,"@131812 If you've replied to our email, we'll surely have a closer look at your insight and will reach out to you with an update. Appreciate your patience until then. ^HS","@131812 If you've replied to our email, we'll surely have a closer look at your insight and will reach out to you with an update. Appreciate your patience until then. ^HS",Thu Nov 30 10:24:29 +0000 2017,
37601,37603,@AmazonHelp Have tried everything. Your customer care also just promises and never delivers. My shipment is not yet picked.,Have tried everything. Your customer care also just promises and never delivers. My shipment is not yet picked.,@124163 I understand your concern for the return of the order. Please share the details in link shared by 'MO' &amp; we'll help you.^SF,@124163 I understand your concern for the return of the order. Please share the details in link shared by 'MO' & we'll help you.^SF,Fri Nov 03 05:06:26 +0000 2017,
29488,29487,@AmazonHelp Yes may I suggest you look at this issue,Yes may I suggest you look at this issue,"@122483 Without giving account specifics, can you tell us a little more about the issue you're experiencing? ^AN","@122483 Without giving account specifics, can you tell us a little more about the issue you're experiencing? ^AN",Mon Oct 30 15:46:17 +0000 2017,
108295,108294,"As a regular customer of @115850 
I really wait every day for amazon app quiz, which has amazing prizes and also a genuin competition is held through it.
#AmazonPayAppQuiz","As a regular customer of I really wait every day for amazon app quiz, which has amazing prizes and also a genuin competition is held through it. #AmazonPayAppQuiz","@140037 Aww thank you, we appreciate the kind words. It's nice of you to follow up with a tweet. :) ^SG","@140037 Aww thank you, we appreciate the kind words. It's nice of you to follow up with a tweet. :) ^SG",Thu Nov 23 18:53:30 +0000 2017,
224187,224186,Fiquei impressionado com a entrega da @117086 . Comprei os livros no domingo e hoje já tava na mão. 👏👏👏👏👏👏,Fiquei impressionado com a entrega da . Comprei os livros no domingo e hoje já tava na mão. 👏👏👏👏👏👏,@169569 De nada Matheus! Boa leitura! ^JD,@169569 De nada Matheus! Boa leitura! ^JD,Thu Oct 05 05:11:44 +0000 2017,
78864,78863,Empiezo a temer que los auriculares que compré en el blackfriday en @116928 no van a llegar y Correos los devolverá.,Empiezo a temer que los auriculares que compré en el blackfriday en no van a llegar y Correos los devolverá.,"@133585 Hola, dinos ¿cómo te podemos ayudar? ^KA","@133585 Hola, dinos ¿cómo te podemos ayudar? ^KA",Thu Nov 30 12:33:39 +0000 2017,
152006,152005,@115850  always enjoyed your service. But this time it’s been terrible waiting for a month and still expecting the order !!! #AmazonGiveaway #Amazon https://t.co/7JUdnITnli,always enjoyed your service. But this time it’s been terrible waiting for a month and still expecting the order !!! #AmazonGiveaway #Amazon,"@150734 All the orders are shipped and mapped for the delivery based on the estimates provided during checkout. This also differs on various factors like your shipping address, &amp; the Fulfillment Centre its shipped from. Your order should be delivered as per the estimates. ^GD","@150734 All the orders are shipped and mapped for the delivery based on the estimates provided during checkout. This also differs on various factors like your shipping address, & the Fulfillment Centre its shipped from. Your order should be delivered as per the estimates. ^GD",Fri Nov 24 15:55:00 +0000 2017,
17258,17257,@AmazonHelp whts benefit? chatted wth 1 of ur executive. aprt fr4 Sorry n Apology he has nothing 2 offer. if u cn do something better thn reply or leave,whts benefit? chatted wth 1 of ur executive. aprt fr4 Sorry n Apology he has nothing 2 offer. if u cn do something better thn reply or leave,"@119798 I get you're upset. However, we'd like to get this sorted out, please share the details and we'll reach out to you. ^MS","@119798 I get you're upset. However, we'd like to get this sorted out, please share the details and we'll reach out to you. ^MS",Fri Oct 20 11:57:26 +0000 2017,
