example_id,customer_message,generated_reply,human_score,llm_score,difficulty,expected_action,predicted_decision
gold_096,Third party seller refused my cancellation request 2 minutes after order was placed.,"To return your item, visit 'Your Orders' and select 'Return or replace items'. You can generate a QR code for convenient label-free drop-off at participating UPS Stores, Whole Foods, or Kohl's locations. Once the carrier receives the package, refunds are typically processed within 3 to 5 business days.",4.0,4.5,hard,AUTO_HANDLE,AUTO_HANDLE
gold_016,"Notification says delivered to mailbox, but my mailbox is too small for a microwave box!","We understand how important timely delivery is. Please check the real-time tracking updates under 'Your Orders' on Amazon. If the carrier marked the package delivered within the last 24 hours, carriers occasionally scan parcels early or place them in secure porch/lobby locations. If your package does not arrive by tomorrow evening, please contact us at amazon.com/contact-us.",4.5,4.5,medium,AUTO_HANDLE,AUTO_HANDLE
gold_031,The tape on the box was sliced open and the most expensive item was missing.,We are very sorry your order arrived in this condition! You can request an immediate zero-cost replacement or return by visiting the Online Returns Center at amazon.com/returns and selecting 'Item arrived damaged/defective'. You'll receive a prepaid return label or QR code instantly.,5.0,4.5,easy,AUTO_HANDLE,AUTO_HANDLE
gold_159,Can I pay for my Amazon purchases using PayPal balance directly?,We'd like to take a closer look into this situation with you directly. Please reach out to our support team via phone or chat at amazon.com/contact-us so an agent can assist.,5.0,4.7,easy,ESCALATE,ESCALATE
gold_129,Can I share my Amazon Prime shipping benefits with my wife through Amazon Household?,"You can manage your Amazon Prime membership, review renewal dates, or cancel auto-renewal anytime by visiting 'Your Account' > 'Prime'. If you have not utilized any Prime benefits during the current billing cycle, you may be eligible for a full refund upon cancellation.",5.0,4.5,easy,AUTO_HANDLE,AUTO_HANDLE
gold_116,"My business account administrator left the company, how do we transfer master ownership?",We are truly sorry for the frustrating experience you've encountered. We want to make this right immediately. Please connect with our dedicated customer leadership team directly via amazon.com/contact-us so a representative can review your case details and assist you right away.,4.5,4.5,medium,ESCALATE,ESCALATE
gold_070,Amazon charged a 20% restocking fee on my return even though the item was unopened.,"To return your item, visit 'Your Orders' and select 'Return or replace items'. You can generate a QR code for convenient label-free drop-off at participating UPS Stores, Whole Foods, or Kohl's locations. Once the carrier receives the package, refunds are typically processed within 3 to 5 business days.",4.0,4.6,hard,AUTO_HANDLE,AUTO_HANDLE
gold_171,"My bank initiated a chargeback for fraud, and now Amazon blocked my whole order history.",We'd like to take a closer look into this situation with you directly. Please reach out to our support team via phone or chat at amazon.com/contact-us so an agent can assist.,4.0,4.5,hard,ESCALATE,ESCALATE
gold_175,"Payment failed during Lightning Deal and by the time I updated the card, the deal ended.",We'd like to take a closer look into this situation with you directly. Please reach out to our support team via phone or chat at amazon.com/contact-us so an agent can assist.,4.0,4.5,hard,ESCALATE,ESCALATE
gold_046,"I reported a damaged replacement, and now the second replacement is ALSO broken!",We are very sorry your order arrived in this condition! You can request an immediate zero-cost replacement or return by visiting the Online Returns Center at amazon.com/returns and selecting 'Item arrived damaged/defective'. You'll receive a prepaid return label or QR code instantly.,4.0,4.7,hard,AUTO_HANDLE,AUTO_HANDLE
gold_067,"Return status says refund completed on Nov 3, but my credit card statement shows nothing.","To return your item, visit 'Your Orders' and select 'Return or replace items'. You can generate a QR code for convenient label-free drop-off at participating UPS Stores, Whole Foods, or Kohl's locations. Once the carrier receives the package, refunds are typically processed within 3 to 5 business days.",4.5,4.5,medium,AUTO_HANDLE,AUTO_HANDLE
gold_183,Your delivery driver blocked my entire driveway and refused to move when asked politely.,"We understand how important timely delivery is. Please check the real-time tracking updates under 'Your Orders' on Amazon. If the carrier marked the package delivered within the last 24 hours, carriers occasionally scan parcels early or place them in secure porch/lobby locations. If your package does not arrive by tomorrow evening, please contact us at amazon.com/contact-us.",2.0,3.8,easy,ESCALATE,AUTO_HANDLE
gold_166,Purchased an e-gift card for a friend 4 hours ago and they never received the email.,We'd like to take a closer look into this situation with you directly. Please reach out to our support team via phone or chat at amazon.com/contact-us so an agent can assist.,4.5,4.5,medium,ESCALATE,ESCALATE
gold_079,I want to cancel my pre-order for the upcoming video game.,We'd like to take a closer look into this situation with you directly. Please reach out to our support team via phone or chat at amazon.com/contact-us so an agent can assist.,2.0,3.6,easy,AUTO_HANDLE,ESCALATE
gold_187,I sent two DMs yesterday and still haven't received a single response from your Twitter team.,We'd like to take a closer look into this situation with you directly. Please reach out to our support team via phone or chat at amazon.com/contact-us so an agent can assist.,4.5,4.5,medium,ESCALATE,ESCALATE
