example_id,customer_message,conversation_context,intent,historical_resolution,expected_action,difficulty,notes
gold_001,Where is my package? Tracking says delivered but I don't see it anywhere on my porch.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,easy,Tracking number delivered but missing parcel; common carrier delay.
gold_002,"My order was supposed to arrive yesterday by 8 PM, but it still hasn't arrived.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,easy,Standard delayed delivery inquiry.
gold_003,Can you tell me the current tracking update for my package? The status hasn't changed in 4 days.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,easy,Stale tracking status.
gold_004,"Tracking says out for delivery since 7 AM this morning, what time does your courier deliver until?",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,easy,Delivery window inquiry.
gold_005,My parcel tracking is stuck at 'in transit to carrier facility'. When should I expect it?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,easy,Transit progress check.
gold_006,My order has been delayed twice already this week. When is it actually going to be delivered?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,easy,Multiple delays reported.
gold_007,Courier says attempted delivery but I was sitting right by the window all day!,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,easy,Failed delivery attempt dispute.
gold_008,Where is my book order? It has been over a week since dispatch.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,easy,Overdue shipment inquiry.
gold_009,"The tracking page says handed to resident, but nobody knocked or buzzed.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,easy,Disputed drop-off.
gold_010,Is there a delay with deliveries in the Chicago area today due to snow?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,easy,Regional logistics disruption.
gold_011,"Driver marked it delivered 10 mins ago, still nothing in mail room or lobby. Does it take time to reflect?",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,medium,Premature carrier delivery scan.
gold_012,Package was sent via USPS instead of Amazon Logistics and tracking shows nothing.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,medium,Carrier partner discrepancy.
gold_013,"Supposed to be guaranteed next-day delivery with Prime, but order summary now says Thursday.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,medium,Prime guaranteed date discrepancy.
gold_014,"Ordered birthday gift for my son for tomorrow, really need to know if it will arrive on time.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,medium,Urgent time-sensitive delivery.
gold_015,"My apartment has a secure parcel locker, but the courier left the package outside on the street.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,medium,Improper drop-off location.
gold_016,"Notification says delivered to mailbox, but my mailbox is too small for a microwave box!",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,medium,Physically impossible delivery note.
gold_017,Why does the tracker show my package traveling from New Jersey to California when I live in New York?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,medium,Erratic carrier routing scan.
gold_018,Can I track the exact location of the delivery truck on the map for my delivery today?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,medium,Map tracking feature inquiry.
gold_019,Third time this month the driver lied about attempting delivery because they were running behind schedule.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,hard,Angry tone with repeated failed delivery complaint; core issue is delivery status.
gold_020,Package never arrived and the photo attached shows a completely different house and red door!,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,hard,Misdelivery confirmed with photo evidence.
gold_021,"Your driver drove past my house, stopped for 2 seconds, and then marked it undeliverable. What is going on?",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,hard,Driver behavior complaint mixed with delivery status inquiry.
gold_022,My package went missing from my front steps within an hour of delivery. Do I contact you or police?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,hard,Stolen package / porch piracy inquiry.
gold_023,"Delivery estimate changed three times today, first 1pm, then 5pm, now tomorrow. Can I pick it up from depot?",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,hard,Depot pickup query for rolling delayed delivery.
gold_024,"Order says delivered to safe place, what does Amazon consider a safe place when it rains?",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,hard,Safe place drop-off inquiry in adverse weather.
gold_025,"I received an empty envelope that was supposed to contain a phone case, but tracking says complete.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,delivery_status,"Advise checking tracking via Your Orders, verify porch/household members, check carrier timeframe, direct to order tracking link or DM if overdue.",AUTO_HANDLE,hard,Borderline between delivery status and missing contents; classified as delivery completion discrepancy.
gold_026,I opened my Amazon box today and the ceramic mug inside was smashed into pieces.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,easy,Physical damage during shipment.
gold_027,The box arrived crushed and the shampoo bottle leaked all over the other items.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,easy,Liquid leakage and damaged contents.
gold_028,Ordered a pack of 3 t-shirts but the package only had 2 shirts inside.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,easy,Missing item from multi-pack.
gold_029,"I received a completely different item than what I ordered - ordered a keyboard, got a blender!",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,easy,Wrong item fulfilled.
gold_030,My monitor arrived with a severely cracked screen right out of the packaging.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,easy,Defective/broken electronics upon arrival.
gold_031,The tape on the box was sliced open and the most expensive item was missing.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,easy,Tampered package with stolen contents.
gold_032,The toy for my nephew arrived with missing parts and broken plastic.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,easy,Defective merchandise with missing parts.
gold_033,Package arrived soaked in water and the books inside are ruined.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,easy,Water-damaged parcel.
gold_034,I ordered size 10 shoes but received size 7 in the box.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,easy,Incorrect size / fulfillment error.
gold_035,The seal on the vitamins was broken when I opened the package.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,easy,Broken safety seal on consumables.
gold_036,"One of the items in my order was missing, but the invoice in the box lists all items as shipped.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,medium,Invoice mismatch with physical parcel.
gold_037,The perfume bottle arrived shattered and stained the carpet when I opened the parcel.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,medium,Property damage caused by broken contents.
gold_038,Received an item with obvious signs of prior use even though I paid for brand new.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,medium,Used item sent as new.
gold_039,Item arrived damaged. Do I need to send back the broken glass pieces to get a replacement?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,medium,Return safety exception inquiry for broken glass.
gold_040,The box was intact but the device inside won't power on at all right out of the box.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,medium,Dead on arrival (DOA) product defect.
gold_041,"Ordered two identical lamps, one arrived in perfect shape, the second is dented.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,medium,Partial damage in multi-item shipment.
gold_042,The protective bubble wrap was deflated and the vinyl record was warped.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,medium,Packaging failure leading to warped goods.
gold_043,My delivery had food items mixed in with cleaning chemicals that spilled.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,medium,Contaminated shipment requiring replacement.
gold_044,Driver threw the package over an 8-foot fence onto concrete and broke everything inside.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,hard,Driver mishandling causing broken items.
gold_045,"Box was delivered intact with factory seal, but inside there was just a block of wood instead of the iPad.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,hard,High-value fulfillment fraud/theft.
gold_046,"I reported a damaged replacement, and now the second replacement is ALSO broken!",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,hard,Repeated damage on consecutive replacements.
gold_047,"Item missing from box, and customer service previously claimed it was split into another shipment with no tracking.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,hard,Unlinked split shipment vs missing item confusion.
gold_048,Received someone else's order containing personal medical items addressed to a different city.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,hard,Misdirected package with sensitive private contents.
gold_049,The food product was past its expiration date by 3 months when delivered.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,hard,Expired consumable product complaint.
gold_050,The appliance emitted sparks and smoke the first time I plugged it in.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,damaged_or_missing,"Apologize for arrival condition, direct to Online Return Center (amazon.com/returns) for instant replacement or replacement order, request DM with details if sealed item was empty.",AUTO_HANDLE,hard,Hazardous product defect inquiry.
gold_051,How do I return an item that doesn't fit? Where do I get a return label?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,easy,Standard return initiation inquiry.
gold_052,"I dropped off my return at Kohl's 5 days ago, when will my refund be issued?",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,easy,Refund turnaround check post drop-off.
gold_053,Can I return an item without the original manufacturer cardboard box?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,easy,Packaging requirement for return.
gold_054,What is the return window for items purchased during Black Friday?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,easy,Holiday return policy timeline inquiry.
gold_055,I sent back two items from different orders in the same return box by accident.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,easy,Combined return packaging discrepancy.
gold_056,Do I have to pay return shipping fees for clothing items that didn't fit?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,easy,Return fee policy inquiry.
gold_057,How do I get a QR code for dropping off my return at the UPS Store?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,easy,QR code return drop-off workflow.
gold_058,"I requested a refund to my original card, but it was refunded to Amazon gift card balance.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,easy,Refund payment method discrepancy.
