inbound_tweet_id,brand_tweet_id,customer_message_raw,customer_message,brand_reply_raw,brand_reply,created_at,matched_intent
617,615,Way to drop the ball on customer service @115821 so pissed right now!,Way to drop the ball on customer service so pissed right now!,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN","@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",Tue Oct 31 22:29:00 +0000 2017,
616,618,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day","3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: ^AG,Tue Oct 31 23:28:00 +0000 2017,
621,620,@115823 I want my amazon payments account CLOSED.  dm me please.,I want my amazon payments account CLOSED. dm me please.,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH","@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: ^CH",Tue Oct 31 22:28:34 +0000 2017,general_feedback_or_complaint
624,622,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS","@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS",Tue Oct 31 22:28:00 +0000 2017,subscription_and_prime
628,626,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,Tue Oct 31 22:28:00 +0000 2017,delivery_status
627,629,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,@115827 Thanks for your patience. ^KM,@115827 Thanks for your patience. ^KM,Wed Nov 01 12:53:34 +0000 2017,
632,631,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!!,@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: ^DG,Tue Oct 31 22:27:00 +0000 2017,delivery_status
634,633,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: ^SH,Tue Oct 31 22:26:37 +0000 2017,delivery_status
636,635,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043","Thanks for the style advice, look ...I think? #Halloween2017 #flamingo",@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,Tue Oct 31 22:26:07 +0000 2017,
638,637,@AmazonHelp Hi ready for some help,Hi ready for some help,@115834 Were you able to reach us at the link DW provided? ^TR,@115834 Were you able to reach us at the link DW provided? ^TR,Tue Oct 31 22:26:07 +0000 2017,
640,639,@AmazonHelp Is the Echo Show no longer supported?,Is the Echo Show no longer supported?,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW","@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: ^DW",Tue Oct 31 01:09:35 +0000 2017,
643,642,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?","Bought an Echo Show and it won’t recognize a single account in our household. WTF, guys?","@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG","@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: ^SG",Tue Oct 31 00:52:39 +0000 2017,
